快捷短语编码,快捷短语,快捷短语分组
手帕纸推荐,亲，手帕纸如果您需要购买多件的话，您可以看下这个组合装哦，会更优惠哦~https://detail.tmall.hk/hk/item.htm?spm=a1z10.5-b-s.w4011-22778423782.138.219a2b53BXah0D&id=623807318150&rn=939e6f8bcda1d2a029fcf3d80bdbd6a7&abbucket=8,推荐商品
缺货,目前母婴6卷、母婴18卷、薰衣草味12卷纸、橙色檀香6卷纸、红色抽纸、粉色抽纸、白色礼盒6色卷纸、黄色礼盒手帕纸、白色纸包装厨房纸无货，在5月初会到货，宝宝可以先点击星星收藏宝贝，到货后我们会通知大家喔,推荐商品
下单前时间/能发,您好！预计下单后N小时安排发货。因疫情期间，物流受影响，若运输期间受不可抗拒因素导致收货延迟的，请您及时与我们联系，采取有效措施降低您的损失。感谢您的理解！,疫情相关
下单前时间/未知,您好！受疫情影响，道路封闭、运输受阻我们所在区域的快递停运，尚未恢复，估计还有一段时间才能发货。您可以先下单，一旦快递通知可以发货我们会加班加点按照订单付款顺序依次尽早发货。如果您着急的话，建议谨慎下单呢！因此造成的不便深表歉意！,疫情相关
下单后时间/能发,您好！您的订单我们可安排正常发货呢！若疫情期间物流受影响，运输途中受不可抗拒因素导致收货延迟的，请您及时与我们联系，采取有效措施降低您的损失。感谢您的理解！,疫情相关
下单后时间/未知,您好！感谢您下单！受疫情影响，道路封闭、运输受阻我们所在区域的快递停运，尚未恢复，估计还有一段时间才能发货。一旦快递通知可以发货我们会加班加点按照订单付款顺序依次尽早发货。如果您着急的话，建议取消订单。感谢您的理解！,疫情相关
安全性/消除担忧,您好！目前本地感染新型冠状病毒的人数是XX（数字），不属于严重区域。在政府与百姓的努力下，疫情得到了有效的控制。而且一般情况下，快递包裹在运输过程中被新冠病毒污染的可能性很小。您可以放心下单，我们会尽快为您安排发货的！,疫情相关
安全性/订单挽留,您好！您的订单我们可安排正常发货呢，而且运输、派送途中全程消毒的，安全问题您可以放心。一般情况下，快递包裹在运输过程中被新型冠状病毒污染的可能性小。您在取快递的时候注意佩戴好口罩等防护用品，勤洗手、常消毒！,疫情相关
安全性/取消订单,您好！您的顾虑和担心我们十分理解，如果确实因为疫情原因您需要取消订单的，我们会尽快处理。一起加油，打赢这场防疫阻击战！疫情过后，欢迎再来我家看看哦！,疫情相关
时效性/取消订单,您好！很抱歉未能及时为您安排发货。如果确实需要取消订单的，我们会尽快处理。一起加油，打赢这场防疫阻击战！疫情过后，欢迎再来我家看看哦！,疫情相关
求顾客取消订单1,您好！十分感谢您对我们的关注！近期我们都在积极联系快递企业及时为您发货，但受疫情影响，物流阻断，无快递揽收包裹，恢复时间尚未确定。请问是否可以接受延迟发货？待快递揽收正常后，我们将第一时间为您寄送。感谢理解与支持！,疫情相关
求顾客取消订单2,您好！感谢您一直以来的关注和支持！因受疫情影响，我们当地快递企业复工时间未知。为不影响您正常接收快递时间，可否与您协商取消订单？由此给您造成的不便，我们深表歉意。在此，赠送您10元优惠券，欢迎疫情平缓后再来光顾我们！谢谢，祝您平安喜乐！,疫情相关
物流更新不及时1,您好！您的包裹已经在路上了，还请耐心等待！因受疫情影响，部分道路运输受阻，暂未知具体到货时间。近期疫情有所缓解，相信很快包裹就到您手上了！,疫情相关
物流更新不及时2,您好！了解到确实因为道路受阻，您的快递停滞在XX（地区）了，为此带来的不便深表歉意！您需要取消订单的，您可以直接拒签，我们将会在第一时间给您处理的！,疫情相关
其他原因换货,您好！可以换货的，本店支持7天无理由退换货，您申请一下换货，我们会尽快处理的。现在正值疫情期间，估计运输时效受影响，我们会在收到您包裹的第一时间安排换货的~~,疫情相关
检测,亲亲，renova的纸巾是100%原生木浆和天然植物染料精制而成，经过实验室皮肤科妇科检测可放心安全使用，不建议在身体异常的情况下使用哦,售后
